s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
141.0890512, 3767.7152716, 73735.5774652, 2.0515876, 0.0077566, 5.0000000, 0.0000000
141.5893670, 3767.4836735, 73736.0209493, 2.0585697, 0.1035945, 5.0000000, 0.0000000
142.0896828, 3767.2465160, 73736.4610237, 2.1557789, 0.1895521, 5.0000000, 0.0000000
142.5899986, 3766.9337980, 73736.8511844, 2.2468230, 0.1488922, 5.0000000, 0.0000000
143.0903143, 3766.6209847, 73737.2408802, 2.3052271, 0.1484206, 5.0000000, 0.0000000
143.5906301, 3766.2647403, 73737.5921705, 2.3949498, 0.1506611, 5.0000000, 0.0000000
144.0909459, 3765.8872334, 73737.9198535, 2.4561477, 0.1238201, 5.0000000, 0.0000000
144.5912617, 3765.4911598, 73738.2247326, 2.5187147, 0.1354683, 5.0000000, 0.0000000
145.0915775, 3765.0753615, 73738.5029908, 2.5916831, 0.1406059, 5.0000000, 0.0000000
145.5918933, 3764.6389037, 73738.7471492, 2.6594034, 0.1247432, 5.0000000, 0.0000000
146.0922091, 3764.1899126, 73738.9664318, 2.7164151, 0.1297448, 5.0000000, 0.0000000
146.5925248, 3763.7284356, 73739.1594065, 2.7891676, 0.1464741, 5.0000000, 0.0000000
147.0928406, 3763.2517841, 73739.3114558, 2.8629581, 0.1309776, 5.0000000, 0.0000000
147.5931564, 3762.7673435, 73739.4343524, 2.9202190, 0.1205926, 5.0000000, 0.0000000
148.0934722, 3762.2767993, 73739.5308881, 2.9835178, 0.1377565, 5.0000000, 0.0000000
148.5937880, 3761.7801944, 73739.5917087, 3.0580531, 0.1409748, 5.0000000, 0.0000000
149.0941038, 3761.2807353, 73739.6142930, 3.1245540, 0.1228430, 5.0000000, 0.0000000
149.5944195, 3760.7809625, 73739.6087359, -3.1023180, 0.1306990, 5.0000000, 0.0000000
150.0947353, 3760.2817827, 73739.5750393, -3.0278334, 0.1474315, 5.0000000, 0.0000000
150.5950511, 3759.7879256, 73739.4952790, -2.9548561, 0.1258667, 5.0000000, 0.0000000
151.0953669, 3759.2994976, 73739.3894485, -2.9019027, 0.1413598, 5.0000000, 0.0000000
151.5956827, 3758.8169256, 73739.2579782, -2.8132280, 0.1953379, 5.0000000, 0.0000000
152.0959985, 3758.3553787, 73739.0677884, -2.7070703, 0.1503046, 5.0000000, 0.0000000
152.5963143, 3757.9111580, 73738.8376060, -2.6628948, 0.0455814, 5.0000000, 0.0000000
153.0966300, 3757.4672233, 73738.6068740, -2.6613545, 0.0026058, 5.0000000, 0.0000000
153.5969458, 3757.0237139, 73738.3753243, -2.6602874, 0.0030144, 5.0000000, 0.0000000
154.0972616, 3756.5802721, 73738.1436452, -2.6583382, 0.0038608, 5.0000000, 0.0000000
154.5975774, 3756.1376689, 73737.9103683, -2.6564242, 0.0020234, 5.0000000, 0.0000000
155.0978932, 3755.6951172, 73737.6769934, -2.6563135, 0.0001106, 5.0000000, 0.0000000
155.5982090, 3755.2525655, 73737.4436184, -2.6563135, -0.0050119, 5.0000000, 0.0000000
156.0985247, 3754.8100137, 73737.2102435, -2.6613287, -0.0115240, 5.0000000, 0.0000000
156.5988405, 3754.3651502, 73736.9813226, -2.6678445, -0.0080111, 5.0000000, 0.0000000
157.0991563, 3753.9195949, 73736.7537344, -2.6693449, -0.0014995, 5.0000000, 0.0000000
157.5994721, 3753.4740397, 73736.5261462, -2.6693449, 0.0025022, 5.0000000, 0.0000000
158.0997879, 3753.0284844, 73736.2985580, -2.6668411, 0.0062115, 5.0000000, 0.0000000
158.6001037, 3752.5840771, 73736.0687428, -2.6631295, 0.0049162, 5.0000000, 0.0000000
159.1004195, 3752.1402235, 73735.8378535, -2.6619218, 0.0012070, 5.0000000, 0.0000000
159.6007352, 3751.6963699, 73735.6069641, -2.6619218, -0.0000000, 5.0000000, 0.0000000
160.1010510, 3751.2525164, 73735.3760748, -2.6619218, -0.0000000, 5.0000000, 0.0000000
160.6013668, 3750.8086628, 73735.1451854, -2.6619218, -0.0000000, 5.0000000, 0.0000000
161.1016826, 3750.3648092, 73734.9142961, -2.6619218, 0.0002038, 5.0000000, 0.0000000
161.6019984, 3749.9209557, 73734.6834067, -2.6617178, 0.0030853, 5.0000000, 0.0000000
162.1023142, 3749.4771968, 73734.4523366, -2.6588345, 0.0055591, 5.0000000, 0.0000000
162.6026299, 3749.0346820, 73734.2188916, -2.6561552, 0.0026776, 5.0000000, 0.0000000
163.1029457, 3748.5921673, 73733.9854466, -2.6561552, 0.0000000, 5.0000000, 0.0000000
163.6032615, 3748.1496525, 73733.7520016, -2.6561552, 0.0000000, 5.0000000, 0.0000000
164.1035773, 3747.7071377, 73733.5185566, -2.6561552, -0.0000000, 5.0000000, 0.0000000
164.6038931, 3747.2646230, 73733.2851116, -2.6561552, 0.0000000, 5.0000000, 0.0000000
165.1042089, 3746.8221082, 73733.0516666, -2.6561552, -0.0003486, 5.0000000, 0.0000000
165.6045246, 3746.3795935, 73732.8182216, -2.6565040, -0.0026919, 5.0000000, 0.0000000
166.1048404, 3745.9369166, 73732.5850856, -2.6588488, -0.0043382, 5.0000000, 0.0000000
166.6051562, 3745.4933119, 73732.3537184, -2.6608449, -0.0019948, 5.0000000, 0.0000000
167.1054720, 3745.0497072, 73732.1223512, -2.6608449, 0.0000000, 5.0000000, 0.0000000
167.6057878, 3744.6061026, 73731.8909840, -2.6608449, 0.0000000, 5.0000000, 0.0000000
168.1061036, 3744.1624979, 73731.6596168, -2.6608449, 0.0000000, 5.0000000, 0.0000000
168.6064194, 3743.7188932, 73731.4282496, -2.6608449, 0.0000000, 5.0000000, 0.0000000
169.1067351, 3743.2752886, 73731.1968824, -2.6608449, -0.0000000, 5.0000000, 0.0000000
169.6070509, 3742.8316839, 73730.9655152, -2.6608449, 0.0003338, 5.0000000, 0.0000000
170.1073667, 3742.3880792, 73730.7341480, -2.6605108, 0.0022328, 5.0000000, 0.0000000
170.6076825, 3741.9446297, 73730.5024848, -2.6586106, 0.0034643, 5.0000000, 0.0000000
171.1079983, 3741.5019075, 73730.2694334, -2.6570444, 0.0015652, 5.0000000, 0.0000000
171.6083141, 3741.0591853, 73730.0363820, -2.6570444, 0.0000000, 5.0000000, 0.0000000
172.1086298, 3740.6164632, 73729.8033305, -2.6570444, -0.0000000, 5.0000000, 0.0000000
172.6089456, 3740.1737410, 73729.5702791, -2.6570444, -0.0000000, 5.0000000, 0.0000000
173.1092614, 3739.7310188, 73729.3372277, -2.6570444, 0.0000000, 5.0000000, 0.0000000
173.6095772, 3739.2882967, 73729.1041763, -2.6570444, 0.0000000, 5.0000000, 0.0000000
174.1098930, 3738.8455745, 73728.8711249, -2.6570444, -0.0065224, 5.0000000, 0.0000000
174.6102088, 3738.4028523, 73728.6380734, -2.6635714, -0.0170653, 5.0000000, 0.0000000
175.1105246, 3737.9571636, 73728.4108406, -2.6741194, -0.0038236, 5.0000000, 0.0000000
175.6108403, 3737.5096481, 73728.1871918, -2.6673971, 0.0174555, 5.0000000, 0.0000000
176.1111561, 3737.0670168, 73727.9539680, -2.6566550, 0.0094316, 5.0000000, 0.0000000
176.6114719, 3736.6243854, 73727.7207442, -2.6579584, -0.0041581, 5.0000000, 0.0000000
177.1117877, 3736.1811493, 73727.4886760, -2.6608157, -0.0044086, 5.0000000, 0.0000000
177.6121035, 3735.7371924, 73727.2579855, -2.6623698, -0.0015531, 5.0000000, 0.0000000
178.1124193, 3735.2932354, 73727.0272950, -2.6623698, -0.0000000, 5.0000000, 0.0000000
178.6127350, 3734.8492784, 73726.7966045, -2.6623698, 0.0000000, 5.0000000, 0.0000000
179.1130508, 3734.4053215, 73726.5659141, -2.6623698, -0.0000000, 5.0000000, 0.0000000
179.6133666, 3733.9613645, 73726.3352236, -2.6623698, -0.0000000, 5.0000000, 0.0000000
180.1136824, 3733.5174075, 73726.1045331, -2.6623698, 0.0000000, 5.0000000, 0.0000000
180.6139982, 3733.0734506, 73725.8738426, -2.6623698, 0.0000000, 5.0000000, 0.0000000
181.1143140, 3732.6294936, 73725.6431521, -2.6623698, -0.0000000, 5.0000000, 0.0000000
181.6146298, 3732.1855366, 73725.4124617, -2.6623698, -0.0000000, 5.0000000, 0.0000000
182.1149455, 3731.7415797, 73725.1817712, -2.6623698, 0.0004935, 5.0000000, 0.0000000
182.6152613, 3731.2976227, 73724.9510807, -2.6618760, 0.0011481, 5.0000000, 0.0000000
183.1155771, 3730.8538938, 73724.7199520, -2.6612210, 0.0008157, 5.0000000, 0.0000000
183.6158929, 3730.4102395, 73724.4886801, -2.6610597, 0.0001611, 5.0000000, 0.0000000
184.1162087, 3729.9665851, 73724.2574082, -2.6610597, 0.0000000, 5.0000000, 0.0000000
184.6165245, 3729.5229307, 73724.0261363, -2.6610597, 0.0000000, 5.0000000, 0.0000000
185.1168402, 3729.0792763, 73723.7948645, -2.6610597, 0.0000000, 5.0000000, 0.0000000
185.6171560, 3728.6356220, 73723.5635926, -2.6610597, 0.0000000, 5.0000000, 0.0000000
186.1174718, 3728.1919676, 73723.3323207, -2.6610597, 0.0000000, 5.0000000, 0.0000000
186.6177876, 3727.7483132, 73723.1010489, -2.6610597, -0.0000000, 5.0000000, 0.0000000
187.1181034, 3727.3046588, 73722.8697770, -2.6610597, -0.0093842, 5.0000000, 0.0000000
187.6184192, 3726.8610045, 73722.6385051, -2.6704509, -0.0239404, 5.0000000, 0.0000000
188.1187349, 3726.4131281, 73722.4156285, -2.6850124, -0.0197185, 5.0000000, 0.0000000
188.6190507, 3725.9629277, 73722.1973727, -2.6901813, -0.0009015, 5.0000000, 0.0000000
189.1193665, 3725.5127274, 73721.9791170, -2.6859145, 0.0181794, 5.0000000, 0.0000000
189.6196823, 3725.0644430, 73721.7570456, -2.6719906, 0.0235679, 5.0000000, 0.0000000
190.1199981, 3724.6204942, 73721.5263395, -2.6623346, -0.0126618, 5.0000000, 0.0000000
190.6203139, 3724.1765453, 73721.2956334, -2.6847031, -0.1079864, 5.0000000, 0.0000000
191.1206297, 3723.7241780, 73721.0857277, -2.7704192, -0.1264421, 5.0000000, 0.0000000
191.6209454, 3723.2476169, 73720.9340818, -2.8105548, -0.0886610, 5.0000000, 0.0000000
192.1212612, 3722.7783220, 73720.7606513, -2.8594980, -0.2522229, 5.0000000, 0.0000000
192.6215770, 3722.2916801, 73720.6570287, -3.0647684, -0.3307416, 5.0000000, 0.0000000
193.1218928, 3721.7955446, 73720.6850013, 3.0992733, -0.2209289, 5.0000000, 0.0000000
193.6222086, 3721.2958600, 73720.6991964, 2.9960474, -0.2818691, 5.0000000, 0.0000000
194.1225244, 3720.8130742, 73720.8290136, 2.8194877, -0.3056531, 5.0000000, 0.0000000
194.6228401, 3720.3496016, 73721.0149885, 2.6889775, -0.2018570, 5.0000000, 0.0000000
195.1231559, 3719.9164237, 73721.2650408, 2.6177871, -0.1975020, 5.0000000, 0.0000000
195.6234717, 3719.4871689, 73721.5131521, 2.4909647, -0.1722877, 5.0000000, 0.0000000
196.1237875, 3719.1300896, 73721.8635950, 2.4485036, 0.0154864, 5.0000000, 0.0000000
196.6241033, 3718.7209224, 73722.1495525, 2.5060852, -0.0521471, 5.0000000, 0.0000000
197.1244191, 3718.3286271, 73722.4547409, 2.3961439, -0.2460623, 5.0000000, 0.0000000
197.6247349, 3717.9906764, 73722.8236653, 2.2618300, -0.1978988, 5.0000000, 0.0000000
198.1250506, 3717.6919913, 73723.2244843, 2.1974082, -0.0948162, 5.0000000, 0.0000000
198.6253664, 3717.4042299, 73723.6337435, 2.1668811, -0.0925320, 5.0000000, 0.0000000
199.1256822, 3717.1305683, 73724.0520482, 2.1047578, -0.1188412, 5.0000000, 0.0000000
199.6259980, 3716.8958612, 73724.4935625, 2.0482398, -0.0431428, 5.0000000, 0.0000000
200.1263138, 3716.6710732, 73724.9401919, 2.0615235, 0.0375434, 5.0000000, 0.0000000
200.6266296, 3716.4245822, 73725.3755746, 2.0857730, 0.0179498, 5.0000000, 0.0000000
201.1269453, 3716.1782476, 73725.8110457, 2.0795010, -0.0283435, 5.0000000, 0.0000000
201.6272611, 3715.9372841, 73726.2494022, 2.0574113, -0.0380706, 5.0000000, 0.0000000
